,_unit_id,text,description,gender
0,823743510360756224,So now the #metoo is about cheaters?!?!......🤔,"widow,mother, Daughter, friend.",female
1,371254008,The latest Abhishek S Daily! https://t.co/x08AB20anb #metoo,"Kannada Blood | English Food• Imp : Dont try to judge me just by glancing this handle, I'm different outside.• If u Dont Like Me, Just Unfollow & Go Away.",female
2,905783027070115841,I'm so proud of the BRAVE #Survivors coming forward in 2018 who are TAKING BACK THEIR POWER! #Women4Women #MeToo… https://t.co/WtBHi2g0xc,"Abuse Survivor. Author of 'Seventeen and Trying to Survive'. Blogger of topics that help heal, empower and inspire other survivors- https://t.co/Ia2MpP2df2",female
3,3947559082,what folks like Maher and Sullivan are saying about #MeToo is much more akin to McCarthyism or a witch hunt than an… https://t.co/hQ4ysJNDEp,"Philosopher, dad, writer. Lots of retweeting, occasional metweeting. Black lives matter. Pronouns are he/him.",female
4,919790271222689792,"I hate living during these times because everything is so extreme...between this Trump area, #MeToo movement, LGBTQ… https://t.co/77lURDZk7a",Just a small town girl on a midnight train going anywhere...,female
5,1025609287,Work in progress for @artthatsells #matsbootcamp #americaferrera #metoo https://t.co/6x2WmuycI0,Kathleen Bruce Illustration,female
6,2379680730,@gal_patriot @eaglefivefour @SheriffClarke #MeToo....no pun intended..but really Jerry Brown is the worst!,"🇺🇸🇺🇸🇺🇸MAGA, Christian, mother, proud follower of POTUS.. not a sheeple",female
7,17836215,The latest The Daily Cagle! https://t.co/RvCTDPHpYS #marketing #metoo,"not trying to be a good guy, not trying to be a bad guy, just trying to live.",female
8,52205435,"Gender equality is not only a fundamental human right, but a necessary foundation for a peaceful, prosperous and su… https://t.co/gTGtoKoKPg","Founder of Green Project Management, advocate for the #SDGs and President of the International Project Management Association - USA",female
9,705342716847128577,@Buddyboybudbud Thank you hun... #Resistance #WomensMarch2018 #MeToo #TrumpShutdown #ImpeachTrumpNow #CorruptGOP… https://t.co/NbA5Edlq7L,Professional​ Native American artist & massage therapist #GoPakGo TRUMP supporters Get BLOCKED! #Impeach45 #NoDAPL #Resistance #GOPTaxScam #MeToo #ArcticRefuge,female
10,20921478,Democrats today #ReleaseTheMemo #SchumerShutdown #metoo  #TrumpShutdown #LiberalismIsAMentalDisorder #MAGA2018… https://t.co/dVAiEwd5nN,It's not dem vs. GOP; it's globalists vs sovereign citizens. Pop culture biggest culprit for creating divide led by George Clooney,female
11,2902130034,"If you gd stupid bitches would quit your infighting and stand as one you motherfuckers could RULE THE WORLD
#MeToo… https://t.co/otp05SryYH", ,female
